PropName,PropTypes,LowPrice,HighPrice,Address,Rentals,Project Name,project type,Developer,Tenure,PSF,Completion Year,# of Floors,Total Units,Facilities,Buildings
Harmony View,Apartment,1300,1180000,"Lintang Slim, Off Perak Road,, 10150, Penang",1000 - 1400,Harmony View,Apartment,N/A,Freehold,N/A,N/A,23,N/A,Basketball court | Barbeque Area | Covered car park | Game room | Gymnasium room | Jogging track | Landscaped Garden | Nursery | 24 hours security,"Building: Building @ Lintang Slim, Off Perak Road, 10150 | # Floors: 23 | # Units: N/A"
Hata Square Apartment,Apartment,238000,290000,"Off Jalan Pandan Mewah 1, Pandan Mewah, 68000, Selangor",900 - 1200,Hata Square Apartment,Apartment,Hata Holdings Sdn Bhd,Leasehold,N/A,2016,6,N/A,Business Centre | Open car park,Building: Hata Square Apartment | # Floors: 6 | # Units: N/A
Hibiscus Court,Apartment,0,0,"Kuching, 93250, Sarawak",,Hibiscus Court,Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,24 hours security,"Building: Building @ Jalan Stutong Baru, Kuching 93250 | # Floors: N/A | # Units: N/A ** Building: Building @ Jalan Stutong Baru, 93250 | # Floors: N/A | # Units: N/A"
Hijauan Heights,Apartment,290000,461700,"Jalan Vista Emas 2, 43000, Selangor",950 - 1480,Hijauan Heights,Apartment,Ever Land & Development Sdn. Bhd.,Freehold,N/A,2016,11,301,Basement car park | Drop Off Point | Perimeter Fencing | Gymnasium room | Lift lobby | Main entrance | Multi-purpose hall | Playground | 24 hours security | Surau (Male & Female) | Swimming pool | Wading pool,Building: Hijauan Heights | # Floors: 11 | # Units: 300
Hilltop Apartment,Apartment,0,0,"Lorong Gunung Ulu Merak 1, Luyang, Kota Kinabalu, 88300, Sabah",,Hilltop Apartment,Apartment,N/A,Leasehold,N/A,N/A,4,96,Car Park | Driving range | Eateries | Restaurant | 24 hours security | Swimming pool,Building: Hilltop Apartment | # Floors: 4 | # Units: 96
Hing's Apartment,Apartment,0,0,"Taman Hing's Park, Kota Kinabalu, Sabah, 88200, Sabah",,Hing's Apartment,Apartment,N/A,Leasehold,N/A,N/A,N/A,N/A,Covered car park | 24 hours security | Swimming pool,"Building: Building @ Lorong Hing Park, Taman Hing's Park, Kota Kinabalu, Sabah 88200 | # Floors: N/A | # Units: N/A ** Building: Building @ Lorong Hing Park, 88200 | # Floors: N/A | # Units: N/A"
Horizon Residence Luxury Apartment,Apartment,336,850000,"Lebuhraya Bukit Indah, Bukit Indah, 81200, Johor",1150 - 2400,Horizon Residence Luxury Apartment,Apartment,Mahabuilders Berhad,Freehold,N/A,N/A,N/A,440,Barbeque Area | Clubhouse | Fitness corner | Gymnasium room | Jogging track | Multi-purpose hall | Playground | 24 hours security | Swimming pool | Tennis courts | Wading pool,"Building: Building @ Lebuhraya Bukit Indah, Bukit Indah 81200 | # Floors: N/A | # Units: 440 ** Building: Building @ - 81200 | # Floors: N/A | # Units: 438"
"I-Park Apartment, Sungai Ara",Apartment,200000,280000,", Jalan Dato Ismail Hashim, 11900, Penang",,"I-Park Apartment, Sungai Ara",Apartment,N/A,N/A,N/A,2014,N/A,N/A,Car Park,Building: Building @ - 11900 | # Floors: N/A | # Units: N/A
Idaman Apartment (Lok Kawi Heights),Apartment,0,0,"Lok Kawi Heights, Lok Kawi, Papar, 89600, Sabah",,Idaman Apartment (Lok Kawi Heights),Apartment,Sabah Urban Development Corporation,Leasehold,N/A,N/A,N/A,N/A,,"Building: Building @ Jln Lok Kawi Papar, Lok Kawi Heights, Lok Kawi, Papar 89600 | # Floors: N/A | # Units: N/A ** Building: Building @ Jln Lok Kawi Papar, 89600 | # Floors: N/A | # Units: N/A"
Idaman Court,Apartment,268000,309000,"Jalan Sungai Congkak 32/41, Seksyen 32, Bukit Rimau, 40460, Selangor",,Idaman Court,Apartment,Malton Berhad Group,Freehold,N/A,N/A,3,44,Badminton hall | Children's Playground | Perimeter Fencing | 24 hours security,Building: Idaman Court | # Floors: 3 | # Units: 44
Idaman Iris,Apartment,359000,460000,"Off Jalan Dato Ismail Hashim, Sungai Ara, 11900, Penang",998 - 1300,Idaman Iris,Apartment,Koperasi Tunas Muda,Freehold,N/A,N/A,16,448,Covered car park | Gymnasium room | Landscaped Garden | Multi-purpose hall | Playground | Sauna | 24 hours security | Tennis courts,"Building: Building @ Persiaran Relau, Off Jalan Dato Ismail Hashim, Sungai Ara 11900 | # Floors: 16 | # Units: 448"
Idaman Lavender,Apartment,310000,400000,"Off Jalan Dato Ismail Hashim, Sungai Ara, 11900, Penang",,Idaman Lavender,Apartment,Koperasi Tunas Muda,Freehold,N/A,N/A,N/A,352,Mini-Mart | Multi-purpose hall | Nursery | 24 hours security | Surau (Male & Female),"Building: Building @ Persiaran Relau Off Jalan Dato Ismail Hashim, Sungai Ara 11900 | # Floors: N/A | # Units: 352"
Idaman Senibong Apartment,Apartment,190000,275000,"Jalan Persiaran Senibong, 81750, Johor",850 - 1500,Idaman Senibong Apartment,Apartment,N/A,Leasehold,N/A,N/A,N/A,N/A,Badminton hall | Basketball court | Barbeque Area | Lounge | Nursery | 24 hours security,Building: Building @ Jalan Persiaran Senibong 81750 | # Floors: N/A | # Units: N/A ** Building: Building @ - 81750 | # Floors: N/A | # Units: N/A
Idaman Sentosa,Apartment,0,0,"Jalan Bendahara 47A, Taman Fraser Jaya, Klang, 41200, Selangor",,Idaman Sentosa,Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,Open car park | 24 hours security | Swimming pool,"Building: Building @ Jalan Bendahara 47A, Taman Fraser Jaya, Klang 41200 | # Floors: N/A | # Units: N/A"
Ilham Apartment,Apartment,220000,260000,"Jalan Sastera U2/1, TTDI Jaya, Section U2, 40150, Selangor",900 - 1300,Ilham Apartment,Apartment,N/A,Leasehold,N/A,N/A,18,N/A,Covered car park | Lounge | Nursery | Playground | Recreation Lake | Sauna | 24 hours security,"Building: Building @ Jalan Sastera U2/1, TTDI Jaya, Section U2 40150 | # Floors: 18 | # Units: N/A"
Ilmu Apartment,Apartment,0,0,"Persiaran Madani, 43009, Selangor",,Ilmu Apartment,Apartment,N/A,Leasehold,N/A,N/A,4,N/A,Basketball court | Covered car park | Jogging track | Launderette | Lounge | Nursery | 24 hours security,Building: Ilmu Apartment | # Floors: 4 | # Units: N/A
Impian Apartment (Lok Kawi Heights),Apartment,0,0,"Lok Kawi Heights, Lok Kawi, Papar, 89600, Sabah",,Impian Apartment (Lok Kawi Heights),Apartment,Sabah Urban Development Corporation,Leasehold,N/A,N/A,N/A,N/A,Basketball court,"Building: Building @ Jln Lok Kawi Papar, Lok Kawi Heights, Lok Kawi, Papar 89600 | # Floors: N/A | # Units: N/A ** Building: Building @ Jln Lok Kawi Papar, 89600 | # Floors: N/A | # Units: N/A"
Impian Diatas,Apartment,0,0,"Persiaran Indah, Taman Persiaran Desa, 50460, Kuala Lumpur",,Impian Diatas,Apartment,N/A,Freehold,N/A,N/A,3,N/A,Badminton hall | Lounge | Mini-Mart | Nursery,"Building: Building @ 5 Persiaran Indah, Taman Persiaran Desa 50460 | # Floors: 3 | # Units: N/A"
Impian Kota,Apartment,0,0,"Jalan Manau, Kampung Atap, 50460, Kuala Lumpur",,Impian Kota,Apartment,N/A,Freehold,N/A,N/A,5,N/A,Covered car park | Nursery | 24 hours security,"Building: Building @ Jalan Manau, Kampung Atap 50460 | # Floors: 5 | # Units: N/A"
Impian Meridian,Apartment,350000,599000,"USJ 1, Subang Jaya, 47600, Selangor",450 - 2400,Impian Meridian,Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,Barbeque Area | Game room | Gymnasium room | Playground | Sauna | 24 hours security | Spa pool | Squash court | Swimming pool,"Building: Building @ USJ 1, Subang Jaya 47600 | # Floors: N/A | # Units: N/A"
Impian Senibong Apartment,Apartment,260000,540000,"Jalan Persiaran Senibong, 81750, Johor",650 - 2300,Impian Senibong Apartment,Apartment,N/A,Leasehold,N/A,N/A,12,N/A,Badminton hall | Barbeque Area | Gymnasium room | Lounge | Nursery | Playground | Recreation Lake | Salon | 24 hours security | Tennis courts,Building: Building @ Jalan Persiaran Senibong 81750 | # Floors: 12 | # Units: N/A ** Building: Building @ - 81750 | # Floors: 12 | # Units: N/A
Inai Court Apartment,Apartment,0,0,"Jalan Templer, Section 1, 46000, Selangor",,Inai Court Apartment,Apartment,N/A,Freehold,N/A,N/A,10,N/A,Barbeque Area | Covered car park | Lounge | Nursery | Playground | Recreation Lake | 24 hours security,"Building: Building @ Jalan Templer, Section 1 46000 | # Floors: 10 | # Units: N/A"
Inang,Apartment,0,0,"Jalan Inang,, 43300, Selangor",,Inang,Apartment,N/A,Leasehold,N/A,N/A,6,N/A,Covered car park | Driving range | Jogging track | Playground | Restaurant | 24 hours security,Building: Inang | # Floors: 6 | # Units: N/A
Indah 1 Apartment @ Taman Taming Indah,Apartment,0,0,"Jalan Taming Indah 2, Taman Taming Indah, 43000, Selangor",700 - 1200,Indah 1 Apartment @ Taman Taming Indah,Apartment,N/A,Freehold,N/A,N/A,5,95,Open car park | Playground | 24 hours security,"Building: Building @ Jalan Taming Indah 2, Taman Taming Indah 43000 | # Floors: 5 | # Units: 95"
Indah 2 Apartment @ Taman Taming Indah,Apartment,0,0,"Jalan Taming Indah 2, Taman Taming Indah, 43000, Selangor",250 - 600,Indah 2 Apartment @ Taman Taming Indah,Apartment,Tanming Berhad,Freehold,N/A,N/A,5,65,Open car park | Playground,"Building: Building @ Jalan Taming Indah 2, Taman Taming Indah 43000 | # Floors: 5 | # Units: 65"
Indah Cempaka,Apartment,260000,420000,"Jalan Pandan Indah 18, Pandan Indah, 55100, Selangor",1000 - 1200,Indah Cempaka,Apartment,TPPT Sdn. Bhd.,Leasehold,N/A,N/A,N/A,N/A,,"Building: Building @ Jalan Pandan Indah 18, Pandan Indah 55100 | # Floors: N/A | # Units: N/A"
Indah Court Apartment (Bukit Indah),Apartment,260000,325000,"Taman Bukit Indah 2, Bukit Indah, Johor Bahru, 81200, Johor",350 - 2000,Indah Court Apartment (Bukit Indah),Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,Barbeque Area | Clubhouse | Playground | 24 hours security | Swimming pool,"Building: Building @ Jalan Indah 23/2, Taman Bukit Indah 2, Bukit Indah, Johor Bahru 81200 | # Floors: N/A | # Units: N/A"
Indah Court Likas,Apartment,0,0,"Taman Jaya, Likas, Kota Kinabalu, 88450, Sabah",,Indah Court Likas,Apartment,N/A,Leasehold,N/A,N/A,4,N/A,Car Park | Covered car park | Children's Playground | Clubhouse | Driving range | Gymnasium room | 24 hours security | Swimming pool,Building: Indah Court Likas | # Floors: 4 | # Units: N/A
Indah Court (Subang Indah),Apartment,0,0,"Off Jalan PJS 11/7, Subang Indah, Bandar Sunway, 46150, Selangor",,Indah Court (Subang Indah),Apartment,N/A,Leasehold,N/A,N/A,11,N/A,Open car park | 24 hours security,"Building: Building @ Jalan PJS 11/12 Off Jalan PJS 11/7, Subang Indah, Bandar Sunway 46150 | # Floors: 11 | # Units: N/A"
Indah Jaya Court,Apartment,0,0,"Taman Indah Jaya, Sandakan, 90000, Sabah",,Indah Jaya Court,Apartment,Wah Mie Group,Leasehold,N/A,N/A,N/A,N/A,24 hours security,"Building: Building @ Jalan Cecily North, Taman Indah Jaya, Sandakan 90000 | # Floors: N/A | # Units: N/A ** Building: Building @ Jalan Cecily North, 90000 | # Floors: N/A | # Units: N/A"
Intan Apartment (Setiawangsa),Apartment,360000,385000,"Jalan Setiawangsa 21,Taman Setiawangsa,Wangsa Maju, 54200, Kuala Lumpur",950 - 1500,Intan Apartment (Setiawangsa),Apartment,N/A,Freehold,N/A,N/A,4,N/A,Perimeter Fencing | Lounge | Nursery | Playground | 24 hours security,Building: Intan Apartment (Setiawangsa) | # Floors: 4 | # Units: N/A
Iris Apartment (Taman Desa),Apartment,180000,250000,"Jalan 2/109C, Taman Abadi Indah,OFF Jln Klang Lama, 58100, Kuala Lumpur",880 - 1600,Iris Apartment (Taman Desa),Apartment,N/A,Leasehold,N/A,N/A,12,N/A,Perimeter Fencing | Open car park | 24 hours security,Building: Iris Apartment | # Floors: 12 | # Units: N/A
Isabella Villa,Apartment,0,0,"Solok Belle, Taman Pulau Pinang, 10350, Penang",,Isabella Villa,Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,Covered car park | 24 hours security,"Building: Building @ Solok Belle, Taman Pulau Pinang 10350 | # Floors: N/A | # Units: N/A"
Ixora Apartment (Jalan Tun Razak),Apartment,310000,380000,"Jalan Tun Razak, Pudu, 55100, Kuala Lumpur",1500 - 2000,Ixora Apartment (Jalan Tun Razak),Apartment,Semangat Cergas Sdn Bhd (185995-W),Leasehold,N/A,N/A,10,304,Badminton hall | Barbeque Area | Lounge | Nursery | Recreation Lake | Salon | 24 hours security,"Building: Building @ Jalan Tun Razak, Pudu 55100 | # Floors: 10 | # Units: 304 ** Building: Building @ - 55100 | # Floors: 10 | # Units: 303"
Ixora Heights Apartment,Apartment,530000,850000,"Lengkok Nipah 3, Off Jalan Bukit Gambier, 11700, Penang",1098 - 1400,Ixora Heights Apartment,Apartment,PDC Properties Sdn Bhd,Freehold,N/A,N/A,20,148,Basketball court | Barbeque Area | Game room | Landscaped Garden | Lounge | Nursery,"Building: Building @ Lengkok Nipah 3, Off Jalan Bukit Gambier 11700 | # Floors: 20 | # Units: 148"
Jascilla View,Apartment,0,0,"Tanjung Bungah Park, 11200, Penang",,Jascilla View,Apartment,N/A,Freehold,N/A,N/A,5,N/A,Lounge | Nursery,Building: Building @ 85 Tanjung Bungah Park 11200 | # Floors: 5 | # Units: N/A
Jasmin Apartment (Sri Rampai),Apartment,270000,305000,"Jalan 58/26, Taman Sri Rampai, 53300, Kuala Lumpur",1000 - 1050,Jasmin Apartment (Sri Rampai),Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,,"Building: Building @ Jalan 58/26, Taman Sri Rampai 53300 | # Floors: N/A | # Units: N/A"
Jasmine Court,Apartment,208000,338000,"Jalan Bandar Puchong Jaya, Bandar Puchong Jaya, 47100, Selangor",800 - 850,Jasmine Court,Apartment,N/A,Freehold,N/A,N/A,5,N/A,Barbeque Area | Covered car park | Lounge | Nursery | 24 hours security,"Building: Building @ Jalan Bandar Puchong Jaya, Bandar Puchong Jaya 47100 | # Floors: 5 | # Units: N/A"
Jelutong Park,Apartment,210000,260000,"Off Jalan Jelutong, 11600, Penang",,Jelutong Park,Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,Covered car park | 24 hours security,"Building: Building @ Lorong Madrasah, Off Jalan Jelutong 11600 | # Floors: N/A | # Units: N/A"
Jemerlang Apartment @ Selayang Heights,Apartment,180000,280000,"Off Jalan Ipoh, Selayang Heights, 68000, Selangor",750 - 1100,Jemerlang Apartment @ Selayang Heights,Apartment,Dergahayu Sdn. Bhd.,Leasehold,N/A,N/A,N/A,N/A,Open car park | 24 hours security,"Building: Building @ Jalan Sh 1/3 Off Jalan Ipoh, Selayang Heights 68000 | # Floors: N/A | # Units: N/A"
Juara Suria Apartment,Apartment,180000,220000,"Jalan Juara 1/5, Taman Juara Jaya, 43200, Selangor",,Juara Suria Apartment,Apartment,N/A,Freehold,N/A,N/A,9,N/A,Badminton hall | Barbeque Area | Covered car park | Perimeter Fencing | Lounge | Nursery | Playground | Recreation Lake | 24 hours security | Swimming pool,Building: Juara Suria | # Floors: 9 | # Units: N/A
Jubilee Court,Apartment,135000,280000,"Jalan Jublee, Pudu, 56100, Kuala Lumpur",,Jubilee Court,Apartment,N/A,Leasehold,N/A,N/A,5,N/A,Cafe | Car Park | Driving range | Eateries | Restaurant,Building: Jubilee Court | # Floors: 5 | # Units: N/A
Kalista Residence,Apartment,0,350000,"70300, Negeri Sembilan",1200 - 2000,Kalista Residence,Apartment,IJM Land Berhad,Freehold,N/A,2016,18,208,Covered car park | Children's Playground | Gymnasium room | 24 hours security | Sky Lounge,Building: Building @ Kalista Residence | # Floors: 18 | # Units: 208
Kasturi Apartment (Bdr Tasik Permaisuri),Apartment,215000,270000,"Jalan Permaisuri 3, Bandar Sri Permaisuri, Cheras, 56000, Kuala Lumpur",,Kasturi Apartment (Bdr Tasik Permaisuri),Apartment,N/A,Leasehold,N/A,N/A,N/A,N/A,Open car park,"Building: Building @ Jalan Permaisuri 3, Bandar Sri Permaisuri, Cheras 56000 | # Floors: N/A | # Units: N/A"
Kasturi Apartment (Taman Kosas),Apartment,0,0,"Jalan Kosas 2, Taman Kosas, 68000, Selangor",,Kasturi Apartment (Taman Kosas),Apartment,N/A,Leasehold,N/A,N/A,5,N/A,Covered car park | Lounge | Nursery | 24 hours security,"Building: Building @ Jalan Kosas 2, Taman Kosas 68000 | # Floors: 5 | # Units: N/A"
Kekwa Apartment (Putra Perdana),Apartment,146000,260000,"Jalan Putra Perdana 5B, 47100, Selangor",650 - 800,Kekwa Apartment (Putra Perdana),Apartment,N/A,Leasehold,N/A,N/A,5,N/A,Barbeque Area | Covered car park | Lounge | Nursery | Playground | 24 hours security,Building: Building @ Jalan Putra Perdana 5B 47100 | # Floors: 5 | # Units: N/A
Kelana Sentral,Apartment,270000,1150000,"Jalan SS 6/12, Kelana Jaya, Petaling Jaya, Selangor, 47301, Selangor",1400 - 2200,Kelana Sentral,Apartment,N/A,Freehold,N/A,N/A,20,N/A,Barbeque Area | Business Centre | Covered car park | Clubhouse | Perimeter Fencing | Gymnasium room | Jacuzzi | Jogging track | Main entrance | Nursery | Playground | Salon | Sauna | 24 hours security | Squash court | Swimming pool,Building: Kelana Sentral | # Floors: 20 | # Units: N/A
Kelompok Rajawali Apartment,Apartment,290000,320000,"Jalan 9/9, Seksyen 9, 43650, Selangor",,Kelompok Rajawali Apartment,Apartment,N/A,Leasehold,N/A,N/A,5,N/A,Barbeque Area | Covered car park | Perimeter Fencing | Lounge | Nursery | Playground | Recreation Lake | Salon | 24 hours security,Building: Kelompok Rajawali Apartment | # Floors: 5 | # Units: N/A
Kemboja,Apartment,0,0,"Jalan Indah 4/5, Ampang Indah, 68000, Selangor",,Kemboja,Apartment,N/A,Freehold,N/A,N/A,5,N/A,Covered car park | Lounge | 24 hours security,Building: Kemboja | # Floors: 5 | # Units: N/A
Kemuning Apartment,Apartment,0,0,"Jalan Kemuning, 55100, Kuala Lumpur",,Kemuning Apartment,Apartment,N/A,Freehold,N/A,N/A,3,N/A,Lounge | Nursery,Building: Building @ 19 Jalan Kemuning 55100 | # Floors: 3 | # Units: N/A
Kenanga Apartment (Bukit Kinrara),Apartment,140000,171000,"Jalan Taman Bukit Kinrara 1/1, Taman Bukit Kinrara, 47100, Selangor",,Kenanga Apartment (Bukit Kinrara),Apartment,N/A,Freehold,N/A,N/A,5,360,Lounge,"Building: Building @ Jalan Taman Bukit Kinrara 1/1, Taman Bukit Kinrara 47100 | # Floors: 5 | # Units: 360"
Kenanga Apartment (Putra Perdana),Apartment,120000,184000,"Bulatan Putra Perdana, Taman Putra Perdana, 47100, Selangor",600 - 899,Kenanga Apartment (Putra Perdana),Apartment,N/A,Leasehold,N/A,N/A,15,N/A,Recreation Lake,"Building: Building @ Bulatan Putra Perdana, Taman Putra Perdana 47100 | # Floors: 15 | # Units: N/A"
Kenanga Apartments (Pusat Bdr Puchong),Apartment,160000,388000,"Jalan Wawasan 2/3, Pusat Bandar Puchong, 47100, Selangor",850 - 1200,Kenanga Apartments (Pusat Bdr Puchong),Apartment,N/A,Freehold,N/A,N/A,11,N/A,Badminton hall | Barbeque Area | Covered car park | Gymnasium room | Lounge | Mini-Mart | Nursery | Playground | Recreation Lake | 24 hours security | Swimming pool | Tennis courts,"Building: Building @ Jalan Wawasan 2/3, Pusat Bandar Puchong 47100 | # Floors: 11 | # Units: N/A"
Kenangan View,Apartment,225000,278000,"Off Jalan Semenyih, Taman Bukit Kenangan, 43000, Selangor",,Kenangan View,Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,24 hours security,"Building: Building @ Jalan Bukit Kenangan Off Jalan Semenyih, Taman Bukit Kenangan 43000 | # Floors: N/A | # Units: N/A"
Kenari Apartment,Apartment,0,0,"Jalan Pulai Harmoni 3, Bandar Baru Kangkar Pulai, 81110, Johor",,Kenari Apartment,Apartment,N/A,Leasehold,N/A,N/A,4,N/A,Barbeque Area | Game room | Playground | Salon,"Building: Building @ Jalan Pulai Harmoni 3, Bandar Baru Kangkar Pulai 81110 | # Floors: 4 | # Units: N/A"
Kendara 2 Apartment,Apartment,0,0,"Off Jalan Kobusak, Kota Kinabalu, 88200, Sabah",,Kendara 2 Apartment,Apartment,N/A,Leasehold,N/A,N/A,4,N/A,Cafe | Covered car park | Children's Playground | Driving range | Eateries | Existing Bus Stop | Mini-Mart | Playground,Building: Kendara 2 Apartment | # Floors: 4 | # Units: N/A
Kepayan Apartment,Apartment,0,0,"Jalan Kepayan Kobusak, Taman Suria, Penampang, 89500, Sabah",,Kepayan Apartment,Apartment,N/A,Leasehold,N/A,N/A,4,N/A,Covered car park | Children's Playground | Driving range | Eateries | Jogging track,Building: Block 1 | # Floors: 4 | # Units: N/A ** Building: Block 2 | # Floors: 4 | # Units: N/A
Keranji Apartments,Apartment,299999,420000,"Jalan SS 19/3A, SS19, 47500, Selangor",,Keranji Apartments,Apartment,N/A,Freehold,N/A,N/A,5,N/A,Barbeque Area | Covered car park | Jogging track | Lounge | Nursery | Playground | 24 hours security,Building: Keranji Apartments | # Floors: 5 | # Units: N/A
Kesidang Indah Apartment,Apartment,0,0,"Jalan Kesidang 2/11, 75200, Melaka",,Kesidang Indah Apartment,Apartment,N/A,Leasehold,N/A,N/A,N/A,N/A,,Building: Building @ Jalan Kesidang 2/11 75200 | # Floors: N/A | # Units: N/A ** Building: Building @ - 75200 | # Floors: N/A | # Units: N/A
Kesturi Apartment (Taman Tasik Jaya),Apartment,0,0,"Taman Tasik Jaya, Seremban, 70400, Negeri Sembilan",,Kesturi Apartment (Taman Tasik Jaya),Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,,"Building: Building @ Jalan Bunga Raya 18 Taman Tasik Jaya, Seremban 70400 | # Floors: N/A | # Units: N/A"
Ketitir Apartment,Apartment,0,0,"Jalan Sungai Besi Indah 5/1, 43200, Selangor",,Ketitir Apartment,Apartment,N/A,Freehold,N/A,N/A,5,320,Barbeque Area | Covered car park | Jogging track | Lounge | Recreation Lake | 24 hours security,Building: Building @ Jalan Sungai Besi Indah 5/1 43200 | # Floors: 5 | # Units: 320
Kiambang Apartment,Apartment,140000,230000,"Jalan Putra Perdana 5E, 47100, Selangor",,Kiambang Apartment,Apartment,N/A,Leasehold,N/A,N/A,5,N/A,Barbeque Area | Covered car park | Lounge | Playground | Recreation Lake,Building: Kiambang Apartment | # Floors: 5 | # Units: N/A
Kiara Apartment,Apartment,0,0,"Jalan Mutiara Melaka 2, Taman Mutiara Melaka, 75350, Melaka",,Kiara Apartment,Apartment,N/A,Leasehold,N/A,N/A,7,N/A,Car Park | Driving range | Eateries | Lift lobby | Restaurant | 24 hours security,Building: Kiara Apartment | # Floors: 7 | # Units: N/A
Kiara East - DEX Suites,"Apartment, Condominium",0,799000,"Jalan 3/18A Taman Mastiara, 51200, Kuala Lumpur",1200 - 2300,Kiara East - DEX Suites,Multiple,Kiara East Property Sdn Bhd,Leasehold,N/A,2016,N/A,N/A,Barbeque Area | Covered car park | Children's Playground | Gymnasium room | Lap pool | Multi-purpose hall | 24 hours security | Aeroyoga Room,Building: Tower A | # Floors: N/A | # Units: N/A ** Building: Tower B | # Floors: N/A | # Units: N/A
Kinrara Ria,Apartment,250000,400000,"Jalan Kinrara 4/11, Taman Kinrara Section 4, 47100, Selangor",750 - 1100,Kinrara Ria,Apartment,N/A,Freehold,N/A,N/A,11,N/A,Barbeque Area | Covered car park | Lounge | Nursery | Playground | Recreation Lake | 24 hours security,"Building: Building @ Jalan Kinrara 4/11, Taman Kinrara Section 4 47100 | # Floors: 11 | # Units: N/A"
Kota Laksamana Utama Apartment,Apartment,120000,162000,"Jalan Kota Laksamana 3/5, Taman Maharjaya, 75200, Melaka",,Kota Laksamana Utama Apartment,Apartment,N/A,Leasehold,N/A,N/A,N/A,N/A,Open car park,"Building: Building @ Jalan Kota Laksamana 3/5, Taman Maharjaya 75200 | # Floors: N/A | # Units: N/A ** Building: Building @ - 75200 | # Floors: N/A | # Units: N/A"
Kristal Heights 2 (Sri Gombak),Apartment,238000,380000,"Jalan SG 8/1, Taman Sri Gombak, Batu Caves, 68100, Selangor",,Kristal Heights 2 (Sri Gombak),Apartment,N/A,Leasehold,N/A,N/A,N/A,100,Covered car park | Playground | 24 hours security | Surau (Male & Female) | Swimming pool,"Building: Building @ Jalan SG 8/1, Taman Sri Gombak, Batu Caves 68100 | # Floors: N/A | # Units: 100"
"Laguna 2 @ Marina Island, Pulau Pangkor",Apartment,0,0,", Marina Island, 32200, Perak",,"Laguna 2 @ Marina Island, Pulau Pangkor",Apartment,N/A,Freehold,N/A,2013,N/A,N/A,Car Park | Children's Playground | Surau (Male & Female),Building: Building @ - 32200 | # Floors: N/A | # Units: N/A
Lake View Suites,Apartment,0,480000,"Jalan Austin Perdana 1, Taman Austin Perdana, 81100, Johor",400 - 1400,Lake View Suites,Apartment,N/A,Freehold,N/A,N/A,20,720,Badminton hall | Basketball court | Barbeque Area | Basement car park | Game room | Jogging track | Landscaped Garden | Lounge | Nursery | Playground | Salon | Sauna | 24 hours security | Spa pool | Swimming pool,"Building: Building @ Jalan Austin Perdana 1, Taman Austin Perdana 81100 | # Floors: 20 | # Units: 720 ** Building: Building @ - 81100 | # Floors: 20 | # Units: 717"
Lakeview Apartments,Apartment,0,600000,"Jalan Sungai Tua, Taman Jasa Pewira, 68100, Selangor",,Lakeview Apartments,Apartment,N/A,Leasehold,N/A,N/A,N/A,N/A,Mini-Mart | Multi-purpose hall | Playground | 24 hours security | Surau (Male & Female) | Swimming pool,"Building: Building @ Jalan Sungai Tua, Taman Jasa Pewira 68100 | # Floors: N/A | # Units: N/A ** Building: Building @ - 68100 | # Floors: N/A | # Units: N/A"
LakeView Residency @ Cyber Heights Villa,Apartment,236196,495000,"Jalan Cyber Suria, Cyberjaya, 63000, Selangor",1000 - 1400,LakeView Residency @ Cyber Heights Villa,Apartment,Country Heights Holdings Berhad,Freehold,N/A,N/A,10,117,Clubhouse | Gymnasium room | Mini-Mart | 24 hours security | Swimming pool | Tennis courts,"Building: Building @ Jalan Cyber Suria, Cyberjaya 63000 | # Floors: 10 | # Units: 117"
Laman Suria e-Resort Apartment,Apartment,190000,270000,"Jalan Aman 4, Taman Kajang Utama, 43000, Selangor",,Laman Suria e-Resort Apartment,Apartment,N/A,Freehold,N/A,N/A,N/A,255,Barbeque Area | Launderette | Mini-Mart | Multi-purpose hall | 24 hours security | Surau (Male & Female) | Swimming pool | Wading pool,"Building: Building @ Jalan Aman 4, Taman Kajang Utama 43000 | # Floors: N/A | # Units: 255"
Larkin Heights Apartment,Apartment,220000,490000,"Jalan Dato Jaafar, Larkin, Johor Bahru, 80350, Johor",4000,Larkin Heights Apartment,Apartment,Mahabuilders Berhad,Leasehold,N/A,N/A,N/A,328,Covered car park | 24 hours security | Swimming pool,"Building: Building @ Jalan Dato Jaafar, Larkin, Johor Bahru 80350 | # Floors: N/A | # Units: 328 ** Building: Building @ - 80350 | # Floors: N/A | # Units: 321"
Larkin Indah Apartment,Apartment,180000,350000,"Jalan Datin Halimah, 80350, Johor",1000 - 1600,Larkin Indah Apartment,Apartment,N/A,Leasehold,N/A,N/A,N/A,288,Badminton hall | Gymnasium room | Nursery,Building: Building @ Jalan Datin Halimah 80350 | # Floors: N/A | # Units: 288
