PropName,PropTypes,LowPrice,HighPrice,Address,Rentals,Project Name,project type,Developer,Tenure,PSF,Completion Year,# of Floors,Total Units,Facilities,Buildings
Pangsapuri Seri Pinang (Seri Kembangan),Apartment,298000,340000,"Jalan Besar, 43300, Selangor",900 - 1400,Pangsapuri Seri Pinang (Seri Kembangan),Apartment,N/A,Freehold,N/A,N/A,14,N/A,Badminton hall | Barbeque Area | Covered car park | Gymnasium room | Lounge | Mini-Mart | Nursery | Playground | Recreation Lake | 24 hours security | Swimming pool,Building: Block 1 | # Floors: 14 | # Units: N/A ** Building: Block 2 | # Floors: 14 | # Units: N/A
Pangsapuri Seri Pinang (Sungai Puyu),Apartment,0,0,"Persiaran Seri Pinang, Off Jalan Sungai Puyu, 13400, Penang",,Pangsapuri Seri Pinang (Sungai Puyu),Apartment,JKP Sdn. Bhd.,Freehold,N/A,N/A,12,N/A,,"Building: Building @ Persiaran Seri Pinang, Off Jalan Sungai Puyu 13400 | # Floors: 12 | # Units: N/A"
Pangsapuri Seri Proton,Apartment,130000,200000,"Jalan Samarinda 5, Taman Kandis, Klang,, 42450, Selangor",,Pangsapuri Seri Proton,Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,Covered car park | Mini-Mart | 24 hours security,"Building: Building @ Jalan Samarinda 5, Taman Kandis, Klang, 42450 | # Floors: N/A | # Units: N/A"
Pangsapuri Seri Siantan,Apartment,0,0,"Jalan Serdang Raya 5/5, Taman Serdang Raya, 43300, Selangor",,Pangsapuri Seri Siantan,Apartment,N/A,Leasehold,N/A,N/A,8,N/A,Barbeque Area | Covered car park | Lounge | Mini-Mart | Playground | Recreation Lake | 24 hours security,"Building: Building @ Jalan Serdang Raya 5/5, Taman Serdang Raya 43300 | # Floors: 8 | # Units: N/A"
Pangsapuri Seri Suria (Bukit Kemuning),Apartment,0,0,"Off Jalan Bukit Kemuning, Seksyen 34, Shah Alam, 40470, Selangor",,Pangsapuri Seri Suria (Bukit Kemuning),Apartment,N/A,Leasehold,N/A,N/A,5,N/A,Barbeque Area | Covered car park | Lounge | Nursery | Playground | 24 hours security,"Building: Building @ Jln Kaburetor 34/13 Off Jalan Bukit Kemuning, Seksyen 34, Shah Alam 40470 | # Floors: 5 | # Units: N/A"
Pangsapuri Seroja (Puchong Indah),Apartment,100000,180000,"Jalan Indah 3, Taman Puchong Indah, 47100, Selangor",,Pangsapuri Seroja (Puchong Indah),Apartment,N/A,Freehold,N/A,N/A,5,N/A,Badminton hall | Barbeque Area | Covered car park | Lounge | Playground | Salon,"Building: Building @ Jalan Indah 3, Taman Puchong Indah 47100 | # Floors: 5 | # Units: N/A"
Pangsapuri Seroja (Shah Alam),Apartment,0,330000,"Jalan Arca U8/80, Taman Bukit Jelutong, Section U8, 40150, Selangor",900 - 1200,Pangsapuri Seroja (Shah Alam),Apartment,N/A,Freehold,N/A,N/A,5,N/A,Barbeque Area | Lounge | Nursery | Recreation Lake,"Building: Building @ 2 Jalan Arca U8/80, Taman Bukit Jelutong, Section U8 40150 | # Floors: 5 | # Units: N/A"
Pangsapuri Sri Ayu,Apartment,417600,515000,"Jalan 4/2A, 43650, Selangor",,Pangsapuri Sri Ayu,Apartment,N/A,Leasehold,N/A,N/A,5,N/A,Badminton hall | Barbeque Area | Covered car park | Lounge | Nursery | Playground | Salon | 24 hours security,Building: Building @ Jalan 4/2A 43650 | # Floors: 5 | # Units: N/A
Pangsapuri Sri Batu,Apartment,230000,255000,"Jalan 35/10A, Kampung Batu Muda, 51100, Selangor",,Pangsapuri Sri Batu,Apartment,N/A,Leasehold,N/A,N/A,9,N/A,Covered car park,"Building: Building @ Jalan 35/10A, Kampung Batu Muda 51100 | # Floors: 9 | # Units: N/A"
Pangsapuri Sri Chempa,Apartment,308000,310000,"Off Jalan Raja Uda, Butterworth, 12200, Penang",,Pangsapuri Sri Chempa,Apartment,Harta Intan Construction Sdn. Bhd.,Freehold,N/A,2013,N/A,88,Playground | 24 hours security,Building: Pangsapuri Sri Chempa | # Floors: N/A | # Units: 88
Pangsapuri Sri Ilham,Apartment,0,0,"Persiaran Seri Alam, Bandar Seri Alam, 81750, Johor",,Pangsapuri Sri Ilham,Apartment,TPPT Sdn. Bhd.,Freehold,N/A,N/A,N/A,N/A,Multi-purpose hall | 24 hours security | Surau (Male & Female) | Swimming pool,"Building: Building @ Jalan Tasek, Persiaran Seri Alam, Bandar Seri Alam 81750 | # Floors: N/A | # Units: N/A"
Pangsapuri Sri Kemuning,Apartment,199000,303000,"Jalan Anggerik Aranda 31/42, 40460, Selangor",750 - 900,Pangsapuri Sri Kemuning,Apartment,N/A,Freehold,N/A,N/A,5,N/A,Barbeque Area | Covered car park | Lounge | Nursery | Playground | 24 hours security,Building: Building @ 3 Jalan Anggerik Aranda 31/42 40460 | # Floors: 5 | # Units: N/A
Pangsapuri Sri Lindungan,Apartment,0,0,"Jalan PJS 6/3H, PJS 6, 46150, Selangor",,Pangsapuri Sri Lindungan,Apartment,N/A,Leasehold,N/A,N/A,5,N/A,Badminton hall | Barbeque Area | Covered car park | Lounge | Playground | Recreation Lake | Salon,"Building: Building @ Jalan PJS 6/3H, PJS 6 46150 | # Floors: 5 | # Units: N/A"
Pangsapuri Sri Malaysia,Apartment,0,0,"Jalan 3/141, Kampung Malaysia Tambahan, 57100, Kuala Lumpur",,Pangsapuri Sri Malaysia,Apartment,N/A,Leasehold,N/A,N/A,N/A,N/A,,"Building: Building @ Jalan 3/141, Kampung Malaysia Tambahan 57100 | # Floors: N/A | # Units: N/A"
Pangsapuri Sri Mas (Desa Tebrau),Apartment,180000,225000,"Taman Desa Tebrau, Johor Bahru, 81100, Johor",700 - 1200,Pangsapuri Sri Mas (Desa Tebrau),Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,24 hours security,"Building: Building @ Jalan Harmonium 14, Taman Desa Tebrau, Johor Bahru 81100 | # Floors: N/A | # Units: N/A"
Pangsapuri Sri Murni (Taman Pinggiran),Apartment,110000,386000,"Jalan Pinggiran Sungai Long, Bandar Sungai Long, 43000, Selangor",,Pangsapuri Sri Murni (Taman Pinggiran),Apartment,N/A,Freehold,N/A,N/A,N/A,N/A,Surau (Male & Female),"Building: Building @ Jalan Pinggiran Sungai Long, Bandar Sungai Long 43000 | # Floors: N/A | # Units: N/A"
